the_geom,ObjectID,Name,Address
POINT (-90.133572764667 29.952926704141),280,Prayer Tower Church of God,8708  WILLOW ST
POINT (-90.088050509769 29.942939639492),67,Corinthian Missionary Baptist,2601  JACKSON AVE
POINT (-90.047455165829 29.944918761227),19,Beautiful Zion Baptist Church,1017  ELMIRA AVE
POINT (-90.035152460829 29.976771824688),189,John Wesley United Methodist Church,3625 N GALVEZ ST
POINT (-90.118421114299 30.014023255072),66,Community Church Unitarian Universalist of New Orleans,6690  FLEUR DE LIS  DR
POINT (-90.104273107794 29.949411758988),126,Gloria Dei Lutheran Church,2021 S DUPRE ST
POINT (-90.087131436529 29.944551522731),143,Greater Full Gospel Church,2626  FELICITY ST
POINT (-90.04078361578 30.002434977335),27,Bethel Colony Transformation,4114  OLD GENTILLY RD
POINT (-90.03014269512 29.973868531473),69,Blessed Hope Missionary Baptist,1922  POLAND AVE
POINT (-90.029489375162 29.938330619847),427,St. Stephen's Baptist Church,2701  LAWERENCE  ST
POINT (-90.119311679066 29.957553759222),45,Carrollton Avenue Baptist Church,2528 S CARROLLTON AVE
POINT (-90.122116960777 29.934456036918),168,Holy Name of Jesus Catholic Church,6367  ST CHARLES AVE
POINT (-90.0802294113 29.997455787929),361,St. Bernard Community Baptist,3938  ST BERNARD AVE
POINT (-90.073049373935 29.994217121136),399,Tulane Memorial Baptist,3601  PARIS AVE
POINT (-90.049972717943 30.001086729385),292,Saint Matthew Lutheran Church,4111  FRANKLIN AVE
POINT (-90.128662174828 29.955599181532),348,St Paul's African Methodist Episcopal Church,8540  COHN ST
POINT (-90.089927526218 30.024457316198),217,Lake Vista United Methodist Church,6645  SPANISH FORT  BLVD
POINT (-90.072476076433 29.968843408309),331,St James Methodist Church,1925  URSULINES ST
POINT (-90.123596163782 29.941639675889),87,Episcopal Chapel of the Holy Spirit,1100  BROADWAY ST
POINT (-90.066524316463 29.970382316958),61,Christian Mission Baptist Church,1477 N ROBERTSON ST
POINT (-90.051162383253 29.974218277734),319,Shiloh Christian Fellowship,2441 N CLAIBORNE AVE
POINT (-90.015115941563 29.924764785039),406,Westside Christian Church,4000  MACARTHUR BLVD
POINT (-90.046904005562 29.95371185536),382,Temple Zion,261  ELMIRA AVE
POINT (-90.07619282177 29.961704206312),72,Christian Unity Baptist Church,1700  CONTI ST
POINT (-90.108935016617 29.957512777829),152,Greater St Andrew Baptist Church,7000  EARHART BLVD
POINT (-90.016820906315 29.969528051747),109,Free Mission Baptist Church,1821  EGANIA ST
POINT (-90.074951334621 29.933379648746),90,Felicity Church,1818  CHESTNUT ST
POINT (-90.08967733028 29.944466257627),305,Second Evangelist Missionary Church,2816  JACKSON AVE
POINT (-90.081437573609 29.92450192906),88,Fatih in Action Missionary Baptist,900  WASHINGTON AVE
POINT (-90.035181829647 29.996842367971),214,Mount Kingdom Missionary Baptist Church,3756  LOUISA ST
POINT (-90.120396351833 29.970542525062),238,Mount Rock Baptist Church,9100  EDINBURGH ST
POINT (-90.105086571253 29.974674467392),46,Carrollton Avenue Church of Christ,4306  PALMYRA ST
POINT (-90.049760729338 29.950928423309),430,Trinity Lutheran Church,620  ELIZA ST
POINT (-90.064443996215 29.977449001743),136,Greater Emmanuel Missionary,1803 N JOHNSON ST
POINT (-90.099814035075 29.921644540777),298,Salem United Church of Christ,4220  CAMP ST
,439,World for Jesus Ministries,10150  INTERSTATE 10 SERVICE RD
POINT (-89.963061275921 30.019822152),437,Suburban Baptist Church,10501  CHEF MENTEUR HWY
POINT (-90.035969252106 29.968105442395),192,Journey Fellowship Church,1300  ALVAR ST
